job_id,student_id,job_positions,skills,education_performance,work_experience_titles,work_experience_descriptions
66ab4d4048d56b5c88ddbf4f,665ebb830c81e87a3aabea8f,"['HR Executive', 'Human Resources Assistant - Entry', 'HR Operations', 'Human Resources Manager']","['Problem-solving skills', 'Time management', 'Problem-solving', 'Onboarding', 'Attention to detail', 'Communication skills', 'Organizational skills', 'Leadership', 'Human Resources Management', 'Problem Solving', 'Communication', 'Negotiation', 'Decision Making', 'Talent Acquisition', 'Microsoft Excel', 'Employee Relations', 'Training and Development', 'Compensation and Benefits', 'Labor Laws and Regulations', 'Organizational Development', 'Exit management', 'Human Resources', 'Teamwork']",6.9,"['Human re', 'HR Intern']",['Conducted exit interviews and analyzed data to identify potential areas for improvement in retention']
66ab4d4048d56b5c88ddbf4f,661f6e8e34fda61b0e9f00fe,"['HR Generalist', 'HR Recruiter', 'Human Resources Assistant - Entry']","['Recruitment', 'Onboarding', 'Communication Skills', 'Strategic Sourcing', 'Interviewing Skills', 'Presentation Skills', 'Leadership Skills', 'Creative Problem Solving', 'Microsoft Excel']",8.63,"['Hr Recruiter', 'HR Operations']","['Screened and interviewed potential candidates for various positions within the company.\nPerformed thorough background checks and reference verifications to ensure the quality of hires.\nDeveloped and executed recruitment strategies to attract qualified candidates.\nCollaborated with hiring managers to create job descriptions and specifications.\nPosted job openings on various job boards and social media platforms.\nManaged the recruitment process from start to finish, including scheduling interviews and coordinating candidate assessments.\nBuilt and maintained a strong network of potential candidates through sourcing techniques.\nConducted salary negotiations and communicated job offers to successful candidates.\nImplemented effective onboarding programs to facilitate smooth transitions for new hires.\nAssisted in developing HR policies and procedures to align with company goals and industry standards.\nOrganized and participated in job fairs and career networking events.\nStayed updated with the latest HR and recruiting trends to enhance overall recruitment strategies.\nMaintained accurate and up-to-date candidate records in the applicant tracking system.\nHandled employee inquiries and provided guidance on HR-related matters.\nCollaborated with the HR team to develop and implement employee retention initiatives.\nAssisted in creating and implementing employer branding initiatives to attract top talent.\nConducted exit interviews and analyzed feedback to identify areas of improvement.\nParticipated in HR meetings and provided input on recruitment-related topics.\nAssisted in developing and delivering training programs for employees and managers.\nMaintained confidentiality and handled sensitive information with professionalism and discretion.', 'Implemented a new employee onboarding process to streamline procedures and reduce time-to-hire.\nDeveloped and implemented a performance management system to track employee progress and provide feedback.\nRevamped HR policies and procedures handbook to ensure compliance with legal regulations and company standards.\nManaged recruitment process, including sourcing, screening, and interviewing candidates for various positions.\nImplemented training and development programs to enhance employee skills and career growth.\nCreated and maintained employee records and HR databases to ensure accuracy and confidentiality.\nHandled employee relations issues, including conflict resolution, disciplinary actions, and grievances.\nLed employee engagement initiatives to improve overall morale and foster a positive work culture.\nCollaborated with management to develop and execute strategic HR plans aligned with business objectives.\nConducted exit interviews and analyzed feedback to identify trends and make recommendations for improvement.\nDeveloped and conducted HR audits to ensure compliance with labor laws and internal policies.\nWorked closely with payroll department to ensure accurate and timely processing of employee payroll and benefits.\nStayed updated on industry trends and best practices in HR to continuously improve HR operations.\nParticipated in cross-functional teams and projects to support organizational goals and initiatives.\nAssisted in the development and revision of job descriptions, job postings, and salary structures.\nMaintained a positive and professional relationship with employees, ensuring confidentiality and trust.\nHandled employee benefits administration, including enrollment, changes, and communication.\nManaged employee offboarding process, including exit interviews and necessary paperwork.\nProvided HR guidance and support to managers and employees on various HR-related matters.\nImplemented employee recognition programs to boost employee morale and acknowledge outstanding performance.']"
66addfa5e8905e09400907d3,667401265524ac05785e87a1,[],"['Embedded systems', 'Automation', 'Problem Solving', 'Communication Skills', 'Marketing', 'Leadership Skills', 'Analytical and problem-solving skills', 'GST', 'Event Coordination', 'Leadership and Team Management']",8.63,"['marketing ', 'Production Engineer and marketing executive']","['I worked as  a marketing executive in the firm and generating lead by tele calling  and field visit.', 'Worked as technical Engineer and marketing executive in the firm.']"
66b07a48e8905e0940092345,665ebb2c0c81e87a3aabea14,"['Hospitality Human Resources Manager', 'Human Resources Assistant - Entry', 'Marketing Manager', 'HR Coordinator']","['Negotiation', 'Excellent organizational and time management skills', 'Knowledge of HR policies and procedures', 'Ability to work independently and as part of a team', 'Project management', 'Customer Relationship Management', 'Human Resources Management', 'Customer service skills']",6.53,['HR Coordinator'],"['Assisted the HR Manager in executing various HR functions and processes.\nCoordinated recruitment activities including job posting, screening of resumes, and scheduling interviews.\nMaintained accurate employee records and updated HR databases.\nAssisted in the onboarding process of new employees, including conducting orientation sessions and preparing necessary paperwork.\nImplemented and monitored employee performance evaluation programs.\nManaged employee benefits programs and ensured timely processing of employee benefit claims.\nHandled employee relations matters and supported conflict resolution processes.\nUpdated and enforced company policies and procedures, ensuring compliance with legal regulations.\nArranged and conducted employee training and development programs.\nAssisted in organizing company events and employee engagement activities.\nMaintained confidentiality of sensitive HR information and records.\nPrepared HR reports and presentations for management review.\nResponded to employee inquiries and provided guidance on HR-related matters.\nCollaborated with other departments to improve HR processes and communication within the organization.\nStayed up-to-date with changes in employment laws and regulations, ensuring company compliance.']"
66b0b7daf5f946f7b54449ee,65b0f2cfcdb8834e3895eb90,"['Full Stack Developer', 'Computer Engineer', 'Back-End Developer']","['Front-End Frameworks (React, Angular, Vue)', 'JavaScript', 'Problem-solving', 'SQL', 'Algorithms and Data Structures']",7.7,['Intern'],['Explore Engineering Virtual experience program conducted by GE Aerospace on the Forage Platform.In this program I have to\ncomplete practical tasks in energy source design and performance implications and effects of compression and bypass ratio. I have\nalso learnt about best fuel for Combustion and Importance of Hydrogen as a fuel.As Hydrogen produces less CO2 during combustion\nbut it produces CO2 during production.It is more efficient and approx 98% fuel produces energy']
66b07a48e8905e0940092345,661fa8d852a23bcb493f02ac,"['Finance Manager', 'Auditor', 'Financial Analyst']","['Microsoft Excel', 'Communication Skills', 'Data Management', 'Problem-solving']",6.82,['Intern'],"[""Gain practical experience in various departments of ICICI Group\nAssist in conducting market research for new products and services\nParticipate in team meetings and contribute ideas for company growth\nLearn about the company's financial operations and strategies\nAssist in analyzing financial data and preparing reports\nCollaborate with colleagues on special projects\nAttend training sessions and workshops to enhance skills\nContribute to the development of marketing plans\nGain knowledge of customer relationship management\nSupport in organizing company events and activities""]"
66b0e5a2e8905e0940093228,65b0f2d4cdb8834e3895eb94,"['Front-End Developer', 'UX/UI Designer', 'Back-End Developer', 'Quality Engineer', 'IT Analyst', 'Apprentice Trainee', 'Machine Learning Engineer', 'Associate Engineer', 'Test Engineer', 'DevOps Engineer', 'QA Automation Selenium', 'Software Engineer', 'Data Scientist', 'Cloud Architect', 'Project Engineer', 'Mobile App Developer', 'Technical Support Engineer', 'Data Engineer', 'Cloud Solution Engineer']","['Machine Learning', 'Database management (e.g. SQL, MongoDB)', 'Web development (e.g. HTML, CSS, JavaScript)', 'API development and integration', 'Programming languages (e.g. Java, C++, Python)', 'Spark', 'Artificial Intelligence', 'springboot', 'Express.js', 'HTML/CSS', 'React', 'Node.js', 'JavaScript', 'Python', 'C++', 'Programming']",8.36,['Software Developer'],"['1. Developed and implemented scalable software solutions to improve efficiency and productivity.\n2. Collaborated with cross-functional teams to gather requirements and design technical solutions.\n3. Conducted code reviews and provided feedback to ensure high-quality code standards.\n4. Resolved complex technical issues and troubleshooted software defects in a timely manner.\n5. Participated in regular team meetings and contributed to brainstorming sessions for innovation and improvement.\n6. Actively engaged in learning and staying up to date with the latest technologies and industry trends.\n7. Collaborated with QA team to ensure thorough testing and validation of software solutions before deployment.\n8. Assisted in the documentation of software development processes, including technical specifications and user manuals.\n9. Mentored junior developers and provided guidance on best practices and coding standards.\n10. Participated in agile development practices, including daily stand-ups, sprint planning, and retrospective meetings.\n11. Demonstrated strong problem-solving skills and attention to detail in software development tasks.\n12. Actively contributed to the improvement of development workflows and automation processes.\n13. Acted as a technical resource for other teams within the company, providing support and guidance as needed.\n14. Worked closely with product managers and stakeholders to understand business requirements and translate them into technical solutions.\n15. Actively participated in the Rakuten community by attending company events, sharing knowledge, and contributing to team-building activities.']"
66b0e5a2e8905e0940093228,65b0f2c6cdb8834e3895eb8a,"['Data Scientist', 'Full Stack Developer', 'Software Engineer']","['Problem-solving', 'Collaboration', 'Algorithms and Data Structures']",7.53,['Chapter Lead'],"['● Guided a coding community of more than 500 students by organizing workshops, competitions, and \nmentorship \n● Coordinated planning of more than 12 events, adhering to deadlines, and reporting progress to CodeChef. ']"
66b0e5a2e8905e0940093228,65b0f3418122aaadeb54cee5,"['Software Engineer', 'Back-End Developer']","['Teamwork', 'SQL', 'Database Management', 'Algorithms and Data Structures', 'Operating Systems', 'Object-Oriented Programming', 'Communication', 'Microservices', 'API Testing', 'java']",7.77,['Software Developer'],"['• Software Development Intern-JAVA(Backend) \n\n\n– Made a Spring boot CRUD Application, created User Audit History, Implemented Multithreading concept to deal\nwith large data.\n– Using MySQL platform to store data with the help of JDBC connector, Implemented SQL queries(Native Query)\nto perform certain tasks.\n– Analysed the request and response of the APIs on Postman\n– Skills:- Java, Spring Boot, Microservices, Hibernate, Postman, MySQL, Multithreading']"
66b0e5a2e8905e0940093228,65b0f3accdb8834e3895ebe1,"['Software Engineer', 'Full Stack Developer', 'Web Developer']","['C++', 'Object-Oriented Programming', 'Algorithms and Data Structures', 'HTML', 'JavaScript', 'React', 'SQL', 'Computer Networks', 'Operating Systems', 'CSS', 'Problem-solving', 'Database Management']",7.67,['Web Developer'],"['• I have worked as web developer at Oasis InfoByte & Worked on three minor projects.\n• Developed a Calculator, Tribute Page and To-do List WebApp application using HTML, CSS, JavaScript,\nPostgreSQL.To analyze GitHub data\n• Calculator to Calculate the numbers, Tribute page to to know about them and To-do List to make a list and\ndownload it.\n']"
66b0e5a2e8905e0940093228,65b0f3dbcdb8834e3895ebf1,"['Computer Engineer', 'Robotics Engineer', 'Mechanical Engineer']","['MATLAB', 'Python']",8.01,['R&D intern'],"['With a team of two. we have developed an Excel-based application for ballscrew selection, optimizing efficiency and accuracy. With Integrated calculation algorithms to analyze load requirements, speed, and environmental factors. Provided training and support to internal teams. ']"
66b0e5a2e8905e0940093228,65b0f305cdb8834e3895eba8,"['Software Engineer', 'Data Engineer', 'Front-End Developer']","['Cloud Computing', 'SQL', 'Algorithms and Data Structures', 'Operating Systems', 'C++', 'Python', 'JavaScript', 'HTML/CSS']",7.86,['frontend developer'],"['Developed responsive web pages using HTML, CSS, and JavaScript\nCollaborated with the design team to create user-friendly interfaces\nOptimized website performance,Solved complex front-end issues and debugged code as necessary\nWorked closely with the QA team to conduct thorough testing and bug fixes\nProvided technical support and guidance to other team members\nUpdated and maintained existing codebases to meet evolving business needs\nParticipated in code reviews to ensure code quality and adherence to best practices\nStayed up-to-date with the latest trends and technologies in front-end development\nCollaborated with stakeholders to refine requirements and provide technical insights\nContributed to the creation and maintenance of design systems and UI components\nOptimized website performance and ensured fast loading times\nImplemented responsive design techniques for seamless user experience across devices\nCollaborated with back-end developers to integrate front-end and back-end functionalities\nProvided recommendations and solutions for enhancing the overall user experience\nMaintained clean and well-structured code for easy maintainability and scalability\nDeveloped effective error handling and validation mechanisms\nAssisted in the planning and execution of website redesigns and enhancements\nMaintained and updated documentation for future reference\nKept track of project deadlines and ensured timely delivery of tasks\nParticipated in team meetings and brainstorming sessions for project planning\nContinuously learned and applied new technologies to improve development skills']"
66b0e5a2e8905e0940093228,65b0f2cfcdb8834e3895eb90,"['Full Stack Developer', 'Computer Engineer', 'Back-End Developer']","['Front-End Frameworks (React, Angular, Vue)', 'JavaScript', 'Problem-solving', 'SQL', 'Algorithms and Data Structures']",7.7,['Intern'],['Explore Engineering Virtual experience program conducted by GE Aerospace on the Forage Platform.In this program I have to\ncomplete practical tasks in energy source design and performance implications and effects of compression and bypass ratio. I have\nalso learnt about best fuel for Combustion and Importance of Hydrogen as a fuel.As Hydrogen produces less CO2 during combustion\nbut it produces CO2 during production.It is more efficient and approx 98% fuel produces energy']
66b0e5a2e8905e0940093228,65b0f3628122aaadeb54cef1,"['Data Scientist', 'Software Engineer', 'Computer Engineer']","['Programming Languages', 'Algorithms and Data Structures', 'SQL', 'Problem-solving', 'Critical Listening', 'Operating Systems', 'Algorithms', 'Data Management', 'Analytical Thinking', 'Data Structures', 'Software Development', 'Object-Oriented Programming', 'Debugging', 'Cloud computing', 'UI/UX Design', 'Email Communication', 'Continuous Integration', 'Collaboration', 'Agile Methodology', 'Creativity', 'RF Documentation', 'Marketing Knowledge', 'Deep Learning', 'Data Manipulation', 'Research Skills']",8.0,['Machine Learning Engineer'],"['Developed machine learning models to improve the efficiency of crop disease detection using the leaf.\nCollaborated with team members to design and implement algorithms.\nParticipated in brainstorming sessions to identify potential machine learning solutions.\nConducted research on new techniques and technologies in the field of machine learning to stay updated.\nUtilized statistical analysis methods to preprocess and clean large datasets for model training.\nImplemented data visualization techniques to present insights obtained from machine learning models.\nEvaluated and fine-tuned machine learning models using performance metrics and cross-validation techniques.\n\nApplied transfer learning and pre-trained models for accelerating model training and improving performance.\nDeveloped and maintained documentation for machine learning models, workflows, and techniques used.']"
66b0e5a2e8905e0940093228,65b0f2f88122aaadeb54cecd,"['Front-End Developer', 'Back-End Developer', 'Full Stack Developer', 'Software Engineer']","['API Design', 'UI/UX Design', 'Vue', 'SQL Server', 'C#', 'ASP.Net Core', 'Figma', 'Azure', 'RESTful API', 'Git', 'Node.js', 'React', 'SQL', 'HTML/CSS', 'JavaScript', 'Algorithms and Data Structures']",7.7,"['Software Developer', 'Assosiate Product Engineer']","[' • Worked with Associate Dean under Director, developed and implemented a major software for Students & College Administration from scratch and contributed to Alumni Association website during summer of 3rd year.\n• Got opportunity to work with Bhagalpur Police, led a project (team of 12) for solving cases management and reporting problem implemented features like geo-tagging, live collaboration, report generation and progress tracking.', '• Engineered a scalable backend for movie web app utilizing C# and RESTful APIs in ASP.NET Core, adhering to behavior-driven development practices with Specflow and xUnit.\n • Created pixel perfect web apps using VueJs and mastered the frontend fundamentals using JavaScript & jQuery.\n • Attained proficiency in Git & Bitbucket and SQL database design, resulting in efficient cross-team collaboration.']"
66b0e5a2e8905e0940093228,65b0f3bfcdb8834e3895ebe5,"['Software Engineer', 'Mobile App Developer', 'Computer Engineer']","['Algorithms and Data Structures', 'Mobile Application Development', 'Leadership', 'Leadership and Team Management']",8.33,['Software Developer'],"[""Developed and maintained efficient software solutions as a Software Developer.\nCollaborated with a team of developers to design and implement new features for company's software products.\nParticipated in code reviews and provided constructive feedback to improve code quality and efficiency.\nTroubleshot and debugged software issues to ensure smooth functionality and optimal performance.\nCollaborated with cross-functional teams to gather requirements and define project scope.\nParticipated in agile development processes, including daily stand-ups, sprint planning, and retrospectives.\nImplemented best practices and coding standards to ensure scalable and maintainable codebase.\nAssisted in the development of software documentation and user manuals for improved usability.\nPerformed system testing and assisted in quality assurance to deliver high-quality software products.\nStayed updated with the latest industry trends and technologies to enhance skills and contribute innovative ideas to the development process.""]"
